time,voltage
1.9677369594573975,129.00
3.0674195289611816,128.00
4.067002296447754,129.00
5.167087078094482,128.00
6.168917894363403,129.00
7.1677772998809814,129.00
8.266908168792725,129.00
9.267573595046997,129.00
10.266925573348999,129.00
11.366786241531372,128.00
12.367413997650146,129.00
13.367850303649902,128.00
14.467714071273804,128.00
15.467099666595459,128.00
16.46681785583496,129.00
17.56770348548889,129.00
18.567066192626953,129.00
19.56695866584778,129.00
20.666823148727417,128.00
21.667664766311646,129.00
22.66732692718506,128.00
23.767601490020752,129.00
24.766864776611328,129.00
25.8675320148468,128.00
26.867611408233643,129.00
27.86700463294983,129.00
28.864166498184204,128.00
29.96724247932434,129.00
30.967776775360107,128.00
